user_id,event_date,event_name,acquisition_channel
U0001,2026-01-06,visit,Paid Search
U0001,2026-01-06,activate,Paid Search
U0001,2026-02-05,active,Paid Search
U0001,2026-03-06,active,Paid Search
U0002,2026-01-11,visit,Referral
U0002,2026-01-11,signup,Referral
U0002,2026-01-11,activate,Referral
U0002,2026-02-08,active,Referral
U0002,2026-04-10,active,Referral
U0002,2026-06-12,active,Referral
U0003,2026-01-16,visit,Partner
U0003,2026-01-16,activate,Partner
U0003,2026-02-11,active,Partner
U0003,2026-03-12,active,Partner
U0003,2026-04-13,active,Partner
U0004,2026-01-21,visit,Organic
U0004,2026-01-21,signup,Organic
U0004,2026-01-21,activate,Organic
U0004,2026-01-21,purchase,Organic
U0004,2026-02-14,active,Organic
U0004,2026-03-15,active,Organic
U0004,2026-04-16,active,Organic
U0004,2026-05-17,active,Organic
U0005,2026-01-02,visit,Paid Search
U0005,2026-01-02,signup,Paid Search
U0005,2026-01-02,purchase,Paid Search
U0005,2026-02-17,active,Paid Search
U0005,2026-03-18,active,Paid Search
U0006,2026-01-07,visit,Referral
U0006,2026-01-07,activate,Referral
U0006,2026-04-22,active,Referral
U0007,2026-01-12,visit,Partner
U0007,2026-01-12,signup,Partner
U0007,2026-01-12,activate,Partner
U0007,2026-01-12,purchase,Partner
U0007,2026-02-23,active,Partner
U0007,2026-06-03,active,Partner
U0008,2026-01-17,visit,Organic
U0008,2026-01-17,signup,Organic
U0008,2026-01-17,activate,Organic
U0008,2026-02-02,active,Organic
U0008,2026-03-03,active,Organic
U0008,2026-04-04,active,Organic
U0008,2026-06-06,active,Organic
U0009,2026-01-22,visit,Paid Search
U0009,2026-01-22,signup,Paid Search
U0009,2026-03-06,active,Paid Search
U0009,2026-04-07,active,Paid Search
U0010,2026-01-03,visit,Referral
U0010,2026-01-03,signup,Referral
U0010,2026-01-03,activate,Referral
U0010,2026-01-03,purchase,Referral
U0010,2026-02-08,active,Referral
U0010,2026-03-09,active,Referral
U0010,2026-05-11,active,Referral
U0011,2026-01-08,visit,Partner
U0011,2026-01-08,activate,Partner
U0011,2026-05-14,active,Partner
U0011,2026-06-15,active,Partner
U0012,2026-01-13,visit,Organic
U0012,2026-01-13,signup,Organic
U0012,2026-01-13,activate,Organic
U0012,2026-01-13,purchase,Organic
U0012,2026-02-14,active,Organic
U0012,2026-03-15,active,Organic
U0012,2026-06-18,active,Organic
U0013,2026-01-18,visit,Paid Search
U0013,2026-01-18,signup,Paid Search
U0013,2026-02-17,active,Paid Search
U0014,2026-01-23,visit,Referral
U0014,2026-01-23,signup,Referral
U0014,2026-01-23,activate,Referral
U0014,2026-02-20,active,Referral
U0014,2026-03-21,active,Referral
U0015,2026-01-04,visit,Partner
U0015,2026-02-23,active,Partner
U0015,2026-03-24,active,Partner
U0015,2026-05-02,active,Partner
U0016,2026-01-09,visit,Organic
U0016,2026-01-09,signup,Organic
U0016,2026-02-02,active,Organic
U0016,2026-04-04,active,Organic
U0016,2026-06-06,active,Organic
U0017,2026-01-14,visit,Paid Search
U0017,2026-01-14,activate,Paid Search
U0017,2026-01-14,purchase,Paid Search
U0017,2026-02-05,active,Paid Search
U0017,2026-03-06,active,Paid Search
U0018,2026-01-19,visit,Referral
U0018,2026-01-19,signup,Referral
U0018,2026-01-19,activate,Referral
U0018,2026-03-09,active,Referral
U0018,2026-05-11,active,Referral
U0019,2026-01-24,visit,Partner
U0019,2026-01-24,signup,Partner
U0019,2026-03-12,active,Partner
U0020,2026-01-05,visit,Organic
U0020,2026-01-05,activate,Organic
U0020,2026-03-15,active,Organic
U0020,2026-04-16,active,Organic
U0021,2026-01-10,visit,Paid Search
U0021,2026-01-10,signup,Paid Search
