person_id,age_group,access_channel,outcome_score
P0003,30-44,Online,8.7
P0004,30-44,Online,7.3
P0010,30-44,Online,8.1
P0011,18-29,Online,7.5
P0012,30-44,Online,7.7
P0013,30-44,Online,8.2
P0017,30-44,Online,7.2
P0018,18-29,Online,6.3
P0019,30-44,Online,7.9
P0020,30-44,Online,9.3
P0028,30-44,Online,7.3
P0030,30-44,Online,7.5
P0032,18-29,Online,8.3
P0034,30-44,Online,6.9
P0036,18-29,Online,5.8
P0041,18-29,Online,7.8
P0042,18-29,Online,7.5
P0043,18-29,Online,6.6
P0049,18-29,Online,9.8
P0052,18-29,Online,6.1
P0056,18-29,Online,8.9
P0058,30-44,Online,6.6
P0061,30-44,Online,7.1
P0065,30-44,Online,6.9
P0074,18-29,Online,8.5
P0078,30-44,Online,6.1
P0080,30-44,Online,6.3
P0082,18-29,Online,6.3
P0085,18-29,Online,7.0
P0086,30-44,Online,5.5
P0090,30-44,Online,8.2
P0093,30-44,Online,7.0
P0098,18-29,Online,8.1
P0100,30-44,Online,8.9
P0102,18-29,Online,7.8
P0117,18-29,Online,8.3
P0118,18-29,Online,7.4
P0121,30-44,Online,6.6
P0123,30-44,Online,7.2
P0124,30-44,Online,7.9
P0126,30-44,Online,5.9
P0128,30-44,Online,8.1
P0132,30-44,Online,7.3
P0134,18-29,Online,8.0
P0137,30-44,Online,4.7
P0138,30-44,Online,8.4
P0145,30-44,Online,8.9
P0148,30-44,Online,7.0
P0150,18-29,Online,6.8
P0153,30-44,Online,4.7
P0160,30-44,Online,7.4
P0163,18-29,Online,8.1
P0165,30-44,Online,8.0
P0168,30-44,Online,7.6
P0169,18-29,Online,7.7
P0172,18-29,Online,8.1
P0177,30-44,Online,8.0
P0178,18-29,Online,5.1
P0184,30-44,Online,6.9
P0191,30-44,Online,6.6
P0192,18-29,Online,9.5
P0195,18-29,Online,6.9
P0196,30-44,Online,8.9
P0201,18-29,Online,7.6
P0211,18-29,Online,6.2
P0212,30-44,Online,6.5
P0213,30-44,Online,6.7
P0214,30-44,Online,8.3
P0218,30-44,Online,8.7
P0220,18-29,Online,7.3
P0222,18-29,Online,8.0
P0226,18-29,Online,7.7
P0228,30-44,Online,6.7
P0229,30-44,Online,6.9
P0234,30-44,Online,6.9
P0235,18-29,Online,8.7
P0238,30-44,Online,4.2
P0243,18-29,Online,9.2
P0246,30-44,Online,6.5
P0248,30-44,Online,4.4
P0252,18-29,Online,8.7
P0253,30-44,Online,9.5
P0254,30-44,Online,8.7
P0256,18-29,Online,9.1
P0259,18-29,Online,7.7
P0263,30-44,Online,10
P0267,30-44,Online,3.5
P0268,18-29,Online,8.7
P0272,30-44,Online,8.5
P0273,18-29,Online,5.9
P0274,30-44,Online,7.3
P0275,30-44,Online,4.8
P0278,18-29,Online,4.2
P0279,18-29,Online,8.9
P0284,30-44,Online,6.2
P0292,30-44,Online,6.9
P0293,18-29,Online,5.9
P0295,18-29,Online,9.0
P0296,30-44,Online,7.2
P0300,30-44,Online,7.2
P0303,30-44,Online,5.9
P0308,18-29,Online,5.6
P0312,30-44,Online,7.5
P0313,18-29,Online,6.0
P0314,18-29,Online,8.1
P0319,18-29,Online,9.6
P0322,18-29,Online,6.1
P0323,30-44,Online,8.5
P0324,30-44,Online,8.7
P0328,18-29,Online,7.4
P0333,30-44,Online,5.3
P0334,18-29,Online,6.4
P0338,30-44,Online,5.3
P0342,30-44,Online,5.0
P0346,18-29,Online,8.4
P0348,18-29,Online,6.0
P0349,18-29,Online,5.6
P0350,30-44,Online,6.9
P0355,30-44,Online,9.0
P0359,30-44,Online,6.8
