subscription_id,customer_id,signup_date,first_active_date,cancel_date,monthly_revenue
S001,C001,2026-01-03,2026-01-04,,80
S002,C002,2026-01-12,2026-01-15,2026-02-10,120
S003,C003,2026-01-25,2026-02-02,,60
S004,C004,2026-02-04,2026-02-04,2026-02-28,90
S005,C005,2026-02-10,2026-02-13,,150
S006,C006,2026-02-21,2026-03-05,,70
S007,C007,2026-03-02,2026-03-03,2026-04-01,110
S008,C008,2026-03-11,2026-03-18,,95
S009,C009,2026-03-22,2026-04-15,,130
S010,C010,2026-04-05,2026-04-06,,75
S011,C011,2026-04-19,2026-05-30,2026-06-10,140
S012,C012,2026-04-27,,,50
