order_id,order_date,region,category,quantity,unit_price,status,revenue
O001,2026-01-01,West,Software,2,40,Completed,80
O002,2026-01-02,South,Services,3,60,Pending,180
O003,2026-01-03,North,Hardware,4,90,Completed,360
O004,2026-01-04,East,Software,5,25,Completed,125
O005,2026-01-05,West,Services,1,40,Completed,40
O006,2026-02-01,South,Hardware,2,60,Pending,120
O007,2026-02-02,North,Software,3,90,Completed,270
O008,2026-02-03,East,Services,4,25,Completed,100
O009,2026-02-04,West,Hardware,5,40,Completed,200
O010,2026-02-05,South,Software,1,60,Pending,60
O011,2026-03-01,North,Services,2,90,Completed,180
O012,2026-03-02,East,Hardware,3,25,Completed,75
O013,2026-03-03,West,Software,4,40,Completed,160
O014,2026-03-04,South,Services,5,60,Pending,300
O015,2026-03-05,North,Hardware,1,90,Completed,90
O016,2026-04-01,East,Software,2,25,Completed,50
O017,2026-04-02,West,Services,3,40,Completed,120
O018,2026-04-03,South,Hardware,4,60,Pending,240
O019,2026-04-04,North,Software,5,90,Completed,450
O020,2026-04-05,East,Services,1,25,Completed,25
