time_entry_id,shot_id,project_id,artist_id,work_date,hours_logged,task_type,billable_flag,overtime_flag,source_system,comment
TE-0000038,PRJ-1001_SQ050_SH0010,PRJ-1001,ART-020,2024-02-01 00:00:00,20.51,Production,Y,Y,Timesheet Portal,
TE-0005187,PRJ-1011_SQ040_SH0080,PRJ-1011,ART-032,2025-12-19,4.18,R&D,N,N,Production Tracker,Weekend delivery push
TE-0000817,PRJ-1002_SQ020_SH0040,PRJ-1002,ART-037,2024-06-05,5.33,Technical Setup,Y,N,Timesheet Portal,Client notes
TE-0004266,PRJ-1009_SQ070_SH0110,PRJ-1009,ART-029,2025-12-15,21.02,QC,Y,Y,Timesheet Portal,Weekend delivery push
TE-0002145,PRJ-1005_SQ030_SH0060,PRJ-1005,ART-005,2024-10-30,6.88,Production,Y,N,Production Tracker,
TE-0004132,PRJ-1009_SQ070_SH0080,PRJ-1009,ART-008,2025-10-05,3.11,Production,Y,Y,Timesheet Portal,Internal review changes
TE-0004076,PRJ-1009_SQ060_SH0070,PRJ-1009,ART-029,2025-09-07,0.86,Technical Setup,Y,Y,Production Tracker,Late turnover
TE-0003190,PRJ-1008_SQ080_SH0010,PRJ-1008,ART-016,2025-03-10,1.44,Review Fixes,Y,N,Production Tracker,
TE-0005972,PRJ-1013_SQ020_SH0040,PRJ-1013,ART-013,2026-03-19,14.76,Technical Setup,Y,Y,Timesheet Portal,Internal review changes
TE-0002117,PRJ-1005_SQ030_SH0050,PRJ-1005,ART-002,2024-10-09,9.05,Technical Setup,Y,Y,Timesheet Portal,
TE-0002192,PRJ-1005_SQ050_SH0070,PRJ-1005,ART-019,2024-12-01,2.0,Production,Y,Y,Production Tracker,
TE-0005198,PRJ-1011_SQ050_SH0080,PRJ-1011,ART-007,2026-01-02,6.66,Review Fixes,Y,N,Production Tracker,Weekend delivery push
TE-0004613,PRJ-1010_SQ030_SH0060,PRJ-1010,ART-037,2025-10-25,4.07,QC,Y,Y,Production Tracker,
TE-0000020,PRJ-1001_SQ030_SH0010,PRJ-1001,ART-038,2024-02-16,49.36,Production,Y,Y,Production Tracker,Internal review changes
TE-0006593,PRJ-1015_SQ040_SH0030,PRJ-1015,ART-025,2026-05-01,4.61,Production,Y,N,Timesheet Portal,
TE-0004180,PRJ-1009_SQ010_SH0100,PRJ-1009,ART-043,2025-10-30,7.99,Review Fixes,Y,N,Production Tracker,
TE-0000196,PRJ-1001_SQ050_SH0040,PRJ-1001,ART-036,2024-04-05,7.97,Technical Setup,Y,N,Production Tracker,Weekend delivery push
TE-0003031,PRJ-1007_SQ040_SH0030,PRJ-1007,ART-056,2025-02-02,0.49,Production,Y,Y,Timesheet Portal,Client notes
TE-0006183,PRJ-1014_SQ040_SH0010,PRJ-1014,ART-013,2026-02-20,8.76,Production,Y,Y,Timesheet Portal,Weekend delivery push
TE-0004427,PRJ-1010_SQ050_SH0030,PRJ-1010,ART-040,2025-07-18,5.51,R&D,N,N,Production Tracker,
